thread_id,termination_type,template_category,kbas_retrieved,has_deflection,deflection_msg_count,deflection_type
1b863708-ee2e-4bd8-adbb-8b540a27c07a,escalated,Microsoft 365,8,0,0,no_deflection
e84582d8-fb18-46b1-b91d-e41f8f07af56,abandoned,Unknown,2,0,0,no_deflection
c1c11182-e4f7-419d-a79f-35060ac1753e,restarted,Software Issue,8,0,0,no_deflection
34b33721-6221-4bfc-afab-b8a44a49cbdf,resolved,Network Issues,10,0,0,no_deflection
6e043858-e232-4cf9-b823-679dec2ef15d,abandoned,Unknown,16,0,0,no_deflection
b5220629-97a2-41b6-9fd8-ec99e874ae24,resolved,LincPass Issues,5,0,0,no_deflection
7f7580e6-b299-47b8-b1ee-8454aac23ecf,abandoned,Unknown,6,1,1,explicit_acknowledgment
27fe0494-a5d5-4837-9958-2f537b30c38a,abandoned,Unknown,2,0,0,no_deflection
42fc23fb-00fa-463a-93f3-bff98ac83215,restarted,Unknown,5,0,0,no_deflection
5dbbb358-0670-487a-bceb-77301249396e,restarted,Unknown,1,0,0,no_deflection
1f502cc7-3229-49f4-a547-2b241aaf8838,escalated,Software Issue,0,0,0,silent_stall
d8300f21-dcde-4162-af93-5520496f98ac,abandoned,Unknown,5,0,0,no_deflection
168057a1-733c-4b77-a368-28b1e9bc6ce0,abandoned,Unknown,6,0,0,no_deflection
e22d99fc-ca1e-4c5a-8921-a4b178340392,escalated,Microsoft 365,1,0,0,no_deflection
6c934452-cf4c-4949-bede-3107f9ec4835,abandoned,Unknown,2,0,0,no_deflection
a2134644-abf3-4d0f-ac99-1267db303b7f,resolved,Software Issue,4,0,0,no_deflection
d9643f49-fd1e-4430-91ea-cd778958a497,abandoned,Unknown,6,0,0,no_deflection
41c718e7-6eb4-4710-b71e-929e3ff8f35a,abandoned,Unknown,3,0,0,no_deflection
9b1421fb-0164-4199-b83c-1b5d013dc099,abandoned,Unknown,7,0,0,no_deflection
f918029c-4705-420b-98ef-a66757c62e1f,restarted,Unknown,0,0,0,silent_stall
15ded22b-92df-48a1-bc13-9763280743f5,restarted,Unknown,1,0,0,no_deflection
cc58bef0-7618-4437-bd13-6931d41dc69d,restarted,Unknown,4,0,0,no_deflection
e877ae5e-53d9-4d3d-bce2-5d895465e544,restarted,Unknown,2,0,0,no_deflection
ac673669-614a-4741-a537-f32e9619dbd4,restarted,Unknown,3,0,0,no_deflection
a6cd5c1d-3c1f-43fe-8793-859903498d1b,abandoned,Unknown,3,0,0,no_deflection
e5327c9e-ac85-41ee-805d-4377704943bb,restarted,Unknown,5,0,0,no_deflection
537fd8c5-ff06-4a00-901b-d388b8de861f,restarted,Unknown,6,0,0,no_deflection
48534c35-53f7-4f30-aa09-c6625d3d51b7,restarted,Unknown,3,0,0,no_deflection
cbdbf979-9b00-4d23-9ba0-61cae79c9596,restarted,Unknown,2,0,0,no_deflection
1a4d6947-5dd5-4757-b7e4-5e029bb2fd0c,restarted,Unknown,4,0,0,no_deflection
f3e460e3-8631-49fd-97c0-06cd7cd04f1e,restarted,Unknown,7,0,0,no_deflection
10644b7f-b06a-4acb-8d9c-cab6d1df3577,restarted,Unknown,4,0,0,no_deflection
2056311b-366a-4837-837d-ad1413db026a,abandoned,Unknown,6,0,0,no_deflection
13abe520-6f7a-410d-836b-ae0369bb4bb1,restarted,Unknown,1,0,0,no_deflection
fb2f98a2-836e-4a42-9a10-ea33504d3b56,restarted,Unknown,1,0,0,no_deflection
eaea6816-30fe-4771-8c22-47abd7d2e8d2,resolved,Microsoft 365,3,0,0,no_deflection
ea136955-20ce-4dec-a823-564cf55eb3c3,abandoned,Unknown,7,0,0,no_deflection
e7d467c1-2f6d-46d5-adaa-6a6c3861c57e,escalated,Network Issues,4,0,0,no_deflection
c7bbd207-37f3-4a52-82ca-399209677248,escalated,Hardware Issues,4,0,0,no_deflection
93152562-3c51-4b55-b74b-c2b311b93eb8,abandoned,Unknown,5,0,0,no_deflection
6d14ab9e-3c0f-4fc8-95fa-18b049fef21b,escalated,Software Issue,8,0,0,no_deflection
dd20c70a-7051-425d-9e66-16f5ea412674,resolved,Request for Information/assistance IT,5,0,0,no_deflection
64382475-3b30-43bf-931f-26c443fc003d,resolved,Request for Information/assistance IT,2,0,0,no_deflection
56cd20ff-f4f8-4e1c-a9f7-131318e4a23f,restarted,Unknown,4,0,0,no_deflection
0c81b773-1fb0-4a85-8f5b-179d9b0b186c,restarted,Unknown,2,0,0,no_deflection
ccf6df11-58f7-483e-b52b-d2e4ab3c4a8e,abandoned,Unknown,6,0,0,no_deflection
c06e625f-584d-4ba2-9b57-45bffc275a8a,restarted,Software Issue,4,0,0,no_deflection
611f10e4-11a3-4833-8f9b-520a519544d0,abandoned,Unknown,4,0,0,no_deflection
8957e24c-8ed3-40ff-894f-99709f1d5051,escalated,Software Issue,7,0,0,no_deflection
9e090d39-f812-4d79-ae3f-a0dc192e4615,resolved,Software Issue,6,0,0,no_deflection
0776f243-7ade-4617-b277-bfe024b05bd3,abandoned,Unknown,6,0,0,no_deflection
b7d70820-2a72-45de-ab70-ee5cb798441f,abandoned,Unknown,6,1,1,explicit_acknowledgment
248bd3f2-0c89-4e7f-bc67-b5abbce27c54,resolved,Hardware Issues,5,0,0,no_deflection
66fc286c-cad9-4eb6-9e5e-eb753e15c377,restarted,Software Issue,2,0,0,no_deflection
4709cdd0-9a24-40c8-a4c2-b0d5859d1ffb,escalated,LincPass Issues,3,0,0,no_deflection
3e15b35d-565b-420a-873f-b434bbee144e,abandoned,Unknown,5,0,0,no_deflection
0068717c-57a1-4e8e-af0a-5a2e1fa71ccd,restarted,Printing Issue,4,0,0,no_deflection
f41fc1a3-b908-4784-8af1-1f664c3ffffc,resolved,Request for Information/assistance IT,2,0,0,no_deflection
dbb13eee-44f6-4221-9a91-6c18b9231d09,restarted,Printing Issue,4,0,0,no_deflection
7b64cae3-dde3-4b2a-9a90-7fdab78e55b6,abandoned,Unknown,2,0,0,no_deflection
597986ab-e294-43ff-878f-5d843a2cc3eb,abandoned,Unknown,3,0,0,no_deflection
d613cdb1-f978-4496-bb0e-9c6be0ac57d5,abandoned,Unknown,2,0,0,no_deflection
367e314a-e507-4218-b2ea-1116958b5705,escalated,LincPass Issues,3,1,1,explicit_acknowledgment
069cb107-e8fa-413a-9320-2c9939b0e53e,escalated,Printing Issue,3,0,0,no_deflection
f993ef98-17b4-495d-8b78-5b71a2f042ff,abandoned,Unknown,5,0,0,no_deflection
c6653fe9-96a9-45cc-baeb-368ed658f617,resolved,Mobile Device Issue,7,0,0,no_deflection
aadf6115-5902-4d7c-a3b9-e27fcaf3b702,restarted,Request for Information/assistance IT,5,0,0,no_deflection
3b479e8b-8864-4f15-91f9-547465dc8cd5,restarted,Software Issue,2,0,0,no_deflection
edfe6f89-9d26-4f7c-8cbb-3988effd5644,abandoned,Unknown,5,0,0,no_deflection
b1941936-2999-4b5a-938b-f5570c8c8c6e,resolved,Microsoft 365,7,0,0,no_deflection
