thread_id,termination_type,template_category,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,ideal_word_count,actual_word_count,note
c06e625f-584d-4ba2-9b57-45bffc275a8a,restarted,Software Issue,0.3043,0.4,0.3457,0.0659,0.087,0.075,0.1848,0.2429,0.2099,69,119,
9e090d39-f812-4d79-ae3f-a0dc192e4615,resolved,Software Issue,1.0,0.7051,0.8271,0.9817,0.6903,0.8106,1.0,0.7051,0.8271,166,122,
66fc286c-cad9-4eb6-9e5e-eb753e15c377,restarted,Software Issue,0.2797,0.75,0.4074,0.1538,0.4186,0.225,0.2373,0.6364,0.3457,42,127,
3feac075-41f0-4e7c-b86c-84c32b41a0b8,escalated,Software Issue,0.2887,0.3733,0.3256,0.0729,0.0946,0.0824,0.1546,0.2,0.1744,76,132,
49e75751-e77a-4231-a47f-9c4ac6cceceb,restarted,Request for Information/assistance IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,no_ai_response
47580a23-d62a-4fb3-88d5-7970adbcead1,resolved,Request for Information/assistance IT,1.0,0.7513,0.858,0.9362,0.7021,0.8024,1.0,0.7513,0.858,159,121,
8979de71-753e-4c2d-b6f1-c02e828a66ed,resolved,Microsoft 365,0.2625,0.2877,0.2745,0.0633,0.0694,0.0662,0.1875,0.2055,0.1961,72,80,
5e95781c-38a6-4498-b554-4823d20772aa,restarted,Request for Information/assistance IT,0.3069,0.4559,0.3669,0.11,0.1642,0.1317,0.1881,0.2794,0.2249,65,104,
0d3ce771-8f77-4e92-a22b-1f77b1882b68,restarted,Software Issue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,0,no_ai_response
3677432e-099e-4a21-aa73-a140fcba87b5,restarted,LincPass Issues,0.2844,0.4247,0.3407,0.0463,0.0694,0.0556,0.1376,0.2055,0.1648,70,123,
adcb8157-0f01-466d-8850-019e2f5d86c9,restarted,Software Issue,0.3047,0.4699,0.3697,0.126,0.1951,0.1531,0.2266,0.3494,0.2749,82,129,
c209ee52-5955-4037-ae04-da30a89e0b7b,escalated,Software Issue,0.4762,0.2632,0.339,0.1707,0.0933,0.1207,0.3333,0.1842,0.2373,77,46,
7957d37f-020c-4485-bdfd-746a680e1b30,restarted,Request for Information/assistance IT,0.4839,0.25,0.3297,0.3,0.1525,0.2022,0.4516,0.2333,0.3077,59,57,
6a42e73e-1401-4db8-b985-b2c24c46924d,resolved,Request for Information/assistance IT,1.0,0.6111,0.7586,0.9692,0.5888,0.7326,1.0,0.6111,0.7586,122,82,
41799a2f-abbd-4b15-b2d0-b7d825591687,escalated,LincPass Issues,0.3426,0.5606,0.4253,0.1121,0.1846,0.1395,0.2222,0.3636,0.2759,66,146,
7a97dcd6-c10e-4924-878f-532e2f35723d,resolved,Request for Information/assistance IT,1.0,0.4649,0.6347,1.0,0.4602,0.6303,1.0,0.4649,0.6347,125,64,
